EAN,Descripcion,Categoria,Precio_Compra,Variacion_Precio_Porc,Cantidad_Recibida,Dias_Reposicion,Error_OCR
7790070410108,VITINA NUTRI-VIT PLUS ESPINACA 250G,Almacén,1370.37,1.62,33,10,0
7794820000601,MANTECA MILKAUT 200 GRS.,Golosinas,3021.43,5.44,16,12,0
7790580501204,DULCE BATATA ARCOR 5 KG.,Almacén,13074.07,3.0,9,2,0
7790070408570,POSTRE EXQUISITA DULCE DE LECHE 80G,Almacén,725.93,3.77,20,3,0
7891150017368,SHAMPOO DOVE 400ML OLEO NUTRICION,Higiene Corporal,6248.07,20.0,11,10,1
6000001039782,BASTONCITOS DE MERLUZA KG.,Helados,332.14,9.13,35,2,0
7798031150582,FIDEOS KNORR SPAGHETTI 500G.,Almacén,1074.07,4.47,43,13,0
7796989000898,PAN BIMBO HAMBURGUESAS 4 UNID.,Almacén,2651.85,1.86,7,13,0
7790580300005,BOMBONES BON O BON 30 U.LECHE,Golosinas,12142.86,6.56,20,18,0
7798031154467,FIDEOS CICA TIRABUZON 500G.,Almacén,844.44,1.45,16,3,0
7797453000437,ALIMENTO WHISKAS POUCH PAVO 85G,Mascotas,962.96,5.02,13,7,0
7790060070626,BIZCOCHUELO EXQUISITA COCO 540   ,Almacén,2296.3,-0.4,31,14,0
7790070507105,YERBA CRUZ DE MALTA 1KG. ECOPACK,Infusiones,3014.81,1.18,10,20,0
7790070410610,ARROZ LUCCHETTI LARGO FINO 500G.,Almacén,644.44,4.99,11,17,0
7793360000485,PURE TOMATE CAMPAGNOLA 530G.   ,Almacén,955.56,6.35,31,12,0
7791293030661,ACONDICIONADOR SEDAL 190ML CERAMIDA,Cuidado Capilar,2520.3,4.93,9,16,0
7798141510528,KANIKAMA EPUYEN 300G.,Helados,1937.86,4.21,24,12,0
78926523,DESODORANTE REXONA ROOL-ON 0% ACTIV,Higiene Corporal,2131.44,3.75,25,15,0
7791564012488,QUESO ADLER JAMON 100 GRS.,Golosinas,2057.14,0.8,38,10,0
78923454,DESODORANTE REXONA R.ON MEN V8,Higiene Corporal,2131.44,2.7,25,7,0
7792799000059,AGUA MINERAL ECO D.L.ANDES 1.5   ,Bebidas sin alcohol,1307.69,3.35,17,20,0
7791249420874,POSTRE MANTECOL 400 G.,Golosinas,325.0,7.14,6,5,0
7793360475108,JUGO LA CAMPAGNOLA BC MANZAN 1 LTS.,Almacén,1748.15,5.36,31,1,0
7622300724283,FIDEOS TERRABUSI 100A/OS AVE MARIA ,Almacén,807.41,0.09,19,17,0
7613035161603,DOLCA MIX DP.125G. LATTE,Infusiones,2600.0,5.31,43,3,0
7790580956608,SALSA ARCOR D.PACK ITALIANA 340G,Almacén,977.78,3.54,42,13,0
6000001024832,MATAMBRE ARROLLADO PALADINI KG.,Helados,30592.86,2.81,16,14,0
7790580511401,MERMELADA ARCOR LIGHT DAMAS. 390GRS,Almacén,2681.48,6.03,41,18,0
7798115940542,FIDEOS ESTRELLA DEL PAR.DEDAL ME500,Almacén,659.26,7.08,18,4,0
7792860001053,TURRON DE MANI LHERITIER C/FRUTA100,Golosinas,764.29,6.83,48,18,0
7790070225580,ACEITE DE OLIVA COCINERO E.VIRGEN25,Almacén,4711.11,2.4,8,5,0
7791293028781,COLONIA DES.AXE BLACK 97G,Higiene Corporal,3181.41,3.73,38,16,0
7790580471309,CARAMELOS ARCOR RELLENOS FRUTALE810,Golosinas,7500.0,5.33,11,1,0
7790580980900,POROTOS ALUBIA ARCOR SEC.REM.300G,Almacén,1170.37,6.94,15,14,0
7791880000442,ARROZ GALLO ORO 5 KG.,Almacén,7044.44,3.3,10,15,0
7790580242015,CHOCOLATE COFLER 55G. C/ROCKLETS ,Golosinas,2350.0,4.04,28,9,0
7790580214104,CARAMELOS ARCOR RODAJAS 930G.,Golosinas,10842.86,1.73,15,15,0
7790040929609,GALLETITAS BAGLEY SURTIDO 400 GRS.,Galletas,2321.43,1.51,7,17,0
7790070318343,FIDEOS LUCCHETTI CODITOS 500 GRS,Almacén,970.37,6.53,18,4,0
7790040938908,GALLETITAS BAGLEY REX ORIGINAL 125G,Galletas,1571.43,7.89,45,12,0
7790070411822,ARROZ LUCCHETTI PARBOLILED 500G.,Almacén,718.52,4.32,7,5,0
78927254,DESODORANTE DOVE R.ON MEN CUID.TOTA,Higiene Corporal,2496.41,7.01,25,5,0
7796989005305,PAN BIMBO P/PANCHOS 6 UNID,Almacén,2651.85,20.0,6,11,0
7794000597648,CALDOS KNORR 6U GALLINA,Almacén,1014.81,2.89,42,6,0
7792860016217,CHUPETIN BABY DOLL 4U. ,Golosinas,585.71,5.4,14,7,1
7790078000011,FIDEOS DON VICENTE TALLARIN 500 GRS,Almacén,2207.41,8.35,22,14,0
7797453971171,ALIMENTO WHISKAS POLLO 500G.,Mascotas,2933.33,4.41,14,11,0
7790070318640,FIDEOS MATARAZZO SPAGHETTI Nº7 500G,Almacén,1200.0,20.0,16,13,0
7794000957602,ADEREZO SAVORA ORIGINAL DP.60G,Almacén,511.11,-2.05,20,2,0
7791880000145,ARROZ GALLO LARGO FINO 1 KG.     ,Almacén,1481.48,6.55,29,7,0
7792860007963,CARAMELOS PICO DULCE MASTICAB.150G,Golosinas,1357.14,20.0,43,20,0
7501059235045,COFFEE-MATE ORIGINAL 170G.,Almacén,4029.63,3.75,40,4,0
7790895640469,AGUA SAB.AQUARIUS 500CC.POMELO,Bebidas sin alcohol,1300.0,4.73,35,8,0
7790070411877,ARROZ GALLO LARGO FINO 500G.,Almacén,785.19,-0.47,36,20,0
7793360246609,JUGO BC LA CAMPAGNOLA NARANJA 200CC,Almacén,466.67,3.95,10,19,0
79400300546,DESODORANTE REXONA CL.MEN STICK SPO,Higiene Corporal,9164.96,5.39,19,13,0
7790070318398,FIDEOS LUCCHETTI DEDALITOS 500GRS,Almacén,970.37,8.19,16,14,0
7898422746827,JABON TOCADOR DOVE 90G.EXFOLIACION,Higiene Corporal,1774.15,3.2,14,10,0
7790580511609,MERMELADA ARCOR LIGHT NARAN.390GRS,Almacén,2681.48,20.0,39,11,0
7622300724160,FIDEOS TERRABUSI SPAGHETTI Nº3 500G,Almacén,703.7,3.25,17,2,0
7790580103538,CHOCOLATE COFLER 55G. CHOCOLINAS ,Golosinas,2350.0,6.79,40,9,0
77905321,FIDEOS DON FELIPE TALLARIN 500 G  ,Almacén,1555.56,5.32,40,17,0
7790380037767,ALMENDRAS C/CHOCO.GEORGALOS 80G.,Golosinas,1945.0,3.18,6,3,0
7790040377806,GALLETITAS BAGLEY CRIOLLITAS 300GRS,Galletas,965.71,5.78,45,6,0
7798039870062,ALIMENTO A BASE DE QUESO REGGIO 40G,Almacén,383.7,4.74,27,5,0
7792798005888,CERVEZA BRAHMA 473ML,Bebidas con alcohol,1615.38,6.92,34,5,0
7798115941198,FIDEOS ESTRELLA DEL PAR.PL SPAGHETT,Almacén,659.26,2.74,13,15,0
7790895641220,"AGUA SAB.AQUARIUS 1,500CC.UVA",Bebidas sin alcohol,1840.0,3.68,16,17,0
7790580263102,CARAMELOS MOGUL 500G. DIENTES ,Golosinas,5700.0,3.52,46,9,0
7791293031125,SHAMPOO SEDAL 650ML REST.INSTANTANE,Cuidado Capilar,6045.19,0.84,42,3,0
7791293004983,ACONDICIONADOR DOVE 400ML HIDRATACI,Higiene Corporal,6248.07,5.24,19,20,0
7791293008141,DESODORANTE DOVE FEM.ORIGINAL 87G,Higiene Corporal,3164.44,5.15,35,17,0
7793360816505,MERMELADA CAMPAGNOLA BC DAMASCO 390,Almacén,3037.04,4.51,40,10,0
7791293022437,COLONIA DES.AXE MARINE 97G,Higiene Corporal,3181.41,3.91,26,3,1
7791293030647,SHAMPOO SEDAL 190ML RIZOS DEFINIDOS,Cuidado Capilar,2520.3,0.96,42,18,0
7790580344207,CARAMELOS ARCOR VIENA 470 GRS.,Golosinas,3642.86,3.45,10,18,0
7795907000422,FIDEOS LUCCHETTI NIDOS FETUCCINE500,Almacén,1562.96,3.64,24,17,0
7792798007400,CERVEZA QUILMES STOUT 1L.,Bebidas con alcohol,2576.92,2.49,19,3,1
7790070317735,FIDEOS FAVORITA 500G. CODITO ,Almacén,622.22,20.0,31,3,0
7792170042067,BEBIDA GATORADE 500CC COOL BLUE,Bebidas sin alcohol,1292.31,5.51,9,6,0
7790580109882,CHOCOLATE AGUILA 150G. EXTRA FINO 6,Golosinas,7357.14,9.22,30,13,0
7790040569706,GALLETITAS ARCOR HOGARE/AS 7 SEM189,Almacén,1096.3,4.94,47,15,1
7790070411556,REBOZADOR PREFERIDO 1 KG.        ,Almacén,2340.74,5.14,30,9,0
7791293005010,SHAMPOO DOVE 400ML RECONS. COMPLET,Higiene Corporal,6248.07,4.31,23,4,0
7793360812101,MERMELADA CAMPAGNOLA BC FRUT.390GRS,Almacén,3777.78,-0.3,45,14,0
77901651,CHICLES BELDENT 10G. FRUTILLA ,Golosinas,607.14,4.43,13,5,0
7790895640452,AGUA SAB.AQUARIUS 500CC.MANZANA,Bebidas sin alcohol,1300.0,4.65,44,2,0
7790044005583,JUGO DE LIMON MINERVA 500 CC.    ,Almacén,1903.7,10.66,45,11,0
7790580300104,BOMBONES BON O BON 30 U.BLANCO,Golosinas,12142.86,4.02,19,9,0
6000001055072,MORTADELA PALADINI KG.         ,Helados,10785.71,5.25,37,3,0
7797453971058,ALIMENTO WHISKAS CARNE 500G.,Mascotas,2933.33,4.41,43,9,0
7501059240605,COFFEE-MATE NESTLE LITE 170G.,Almacén,4029.63,1.58,38,3,0
7790580434007,HUEVO PASCUA BON O BON BCO. 110GRS,Golosinas,11071.43,7.36,28,2,0
77903518,GALLETITAS BAGLEY OPERA 92 GRS.,Galletas,892.86,6.38,20,12,1
7793360386404,CARAMELOS BC SURTIDOS 420G,Golosinas,11742.86,6.48,38,10,0
7501056326142,CREMA PONDS S HUMECTANTE NUTRI.100G,Higiene Corporal,3258.81,2.23,30,9,0
7790040110380,JUGO LA CAMPAGNOLA BC 500ML NARANJA,Almacén,859.26,8.01,22,15,0
7790580178208,CARAMELOS ARCOR MASTIC.FRUTA 800G,Golosinas,7214.29,1.0,38,8,0
7791293010595,ACONDICIONADOR SEDAL 650ML CREMA B,Cuidado Capilar,6045.19,20.0,7,5,0
7793360811401,MERMELADA CAMPAGNOLA BC DURAZ.390GR,Almacén,3037.04,9.98,19,11,0
7790040534506,GALLETITAS ARCOR FORMIS BLACK 102GR,Almacén,948.15,2.02,45,2,0
7791293020280,COLONIA DES.AXE APOLLO 97G,Higiene Corporal,3181.41,3.08,45,15,0
7798141510030,RODAJAS DE PATI EPUYEN 700G.,Helados,1142.86,4.75,44,6,0
7898024395331,BOMBONES FERRERO ROCHER 24UNID.,Golosinas,28371.43,3.24,11,8,0
7792170110704,"BEBIDA GATORADE 1,250CC COOL BLUE",Bebidas sin alcohol,2576.92,0.62,11,5,0
7790580402907,ALIMENTO CHOCOLATE ARCOA 360 G   ,Golosinas,2528.57,4.67,8,16,1
7792860004542,CHUPETIN LHERITIER PICO DULCE 5 UN.,Golosinas,978.57,1.84,12,18,1
7793360004155,MERMELADA CAMPAGNOLA DAMAS.454   ,Almacén,2940.74,5.68,13,6,1
7791813421368,GASEOSA PASO LOS TOROS TONICA 1.5LT,Bebidas sin alcohol,1346.15,2.2,47,5,0
79400052919,DESODORANTE REXONA CL.MEN STICK CLE,Higiene Corporal,9164.96,8.37,20,16,0
7790079019616,CONG.HAMBURGUESAS PALADINI FIN.114 ,Helados,1985.71,2.54,34,13,0
7791293030937,ACONDICIONADOR SEDAL 340ML CERAMIDA,Cuidado Capilar,3764.44,3.69,38,5,0
7793360004308,MERMELADA CAMPAGNOLA FRUTI.454   ,Almacén,3629.63,6.53,35,13,0
7792860007666,GARRAPI/ADAS DE MANI LHERITIER 80G.,Golosinas,492.86,1.42,44,17,0
7793360475207,JUGO LA CAMPAGNOLA BC MULTIFRUTA 1L,Almacén,1748.15,5.07,32,18,0
7797453000420,ALIMENTO WHISKAS POUCH CARNE 85G.,Mascotas,962.96,7.77,41,8,0
7798115940030,FIDEOS ESTRELLA DEL PAR.CINTA 5 500,Almacén,1000.0,0.48,34,13,0
7791293041223,FIJADOR LORD CHESELINE 150 C.C.,Bebidas sin alcohol,2711.0,4.96,43,19,0
7794000957633,ADEREZO SAVORA ORIGINAL DP. 500G,Almacén,1925.93,5.15,38,3,0
7791293031989,JABON TOCADOR REXONA 3X125G. SENSIB,Higiene Corporal,2770.74,6.45,42,8,0
7790580511500,MERMELADA ARCOR LIGHT CIR.390GRS ,Almacén,2681.48,1.41,32,2,1
7790156000056,LECHE DE SOJA ADES MANZANA 1 L   ,Bebidas sin alcohol,2500.0,1.2,38,8,0
7790070317674,FIDEOS FAVORITA 500G. TALLARIN ,Almacén,622.22,5.8,9,13,0
7790580509606,MERMELADA ARCOR FRUTILLA 454 G   ,Almacén,3251.85,5.24,27,13,0
7790230033031,FIDEOS MATARAZZO MOÑO MED.500G   ,Almacén,1881.48,5.13,7,1,0
7790070316295,FIDEOS MATARAZZO PENNE RIGA. Nº48 5,Almacén,1200.0,5.37,15,6,0
7790580106430,JUGO ARCOR CAJA 18U. NARANJA DULCE,Bebidas sin alcohol,4923.08,2.8,10,19,1
7790070016003,GELATINA EXQUISITA LIGHT CEREZA 25,Almacén,740.74,5.08,15,16,0
7791293995755,COLONIA DES.AXE DARK TEMPTATION 97G,Higiene Corporal,3181.41,5.23,38,8,0
7790070317698,FIDEOS FAVORITA 500G. SPAGHETTI ,Almacén,622.22,20.0,43,1,0
7790070320841,FIDEOS MATARAZZO INT. TIRAB. Nº34 5,Almacén,1392.59,9.16,18,16,0
7794000595507,SABOR AL HORNO KNORR POLLO LIM/ORE,Almacén,2051.85,5.68,36,9,0
7791293030760,SHAMPOO SEDAL 340ML CASPA,Cuidado Capilar,3764.44,1.52,41,13,0
7790580427009,CONEJO BON O BON BCO. 110 GR.,Golosinas,8928.57,6.14,29,11,0
7791293021768,SHAMPOO SEDAL 300ML DP CERAMIDAS,Cuidado Capilar,2575.48,2.06,20,13,0
7791293030630,SHAMPOO SEDAL 190ML RESTAURACION IN,Cuidado Capilar,2520.3,6.47,34,10,0
7794820000304,QUESO MILKAUT RALLADO 40 GRS.,Golosinas,1350.0,7.4,13,4,0
7790895005794,GASEOSA COCA COLA 2.500 CC.,Bebidas sin alcohol,4284.62,2.45,10,6,0
7790070318367,FIDEOS LUCCHETTI CABELLOS ANGEL 500,Almacén,1562.96,6.91,34,7,0
7790070015990,GELATINA EXQUISITA LIGHT FRUTILLA25,Almacén,740.74,5.53,9,5,0
7791290010079,LIQUIDO P/ROPA SKIP 3LT.DP.,Limpieza,10074.07,6.56,17,11,0
7790060070541,BIZCOCHUELO EXQUISITA VAIN.540   ,Almacén,2296.3,9.24,7,13,0
7790040995406,BUDIN BAGLEY C/FRUTAS  PREMIUM 215G,Golosinas,2678.57,3.89,32,19,0
7790079000317,SALCHICHAS FELA 6 UN.            ,Helados,1214.29,2.62,36,10,0
7790407031075,CHOCOLATE AGUILA 100G. BLANCO   ,Golosinas,4092.86,2.28,41,10,0
7791293025537,DESODORANTE REXONA MEN 89G.ANTIBACT,Higiene Corporal,3313.22,2.46,41,11,0
7791293022581,DESODORANTE REXONA MEN 89G.EXTRACOO,Higiene Corporal,3313.22,4.31,31,7,0
7891150017337,ACONDICIONADOR DOVE 400ML OLEO NUT,Higiene Corporal,6248.07,5.35,48,18,0
7790895641183,BEBIDA POWERADE 500CC.FR.TROP.,Bebidas sin alcohol,1538.46,5.19,32,4,0
7791290007260,LIMPIADOR CIF PISOS OXI GEL 750CC,Limpieza,3385.19,6.57,10,2,0
7798141512065,FILET DE TARARIRA EPUYEN 1KG.,Helados,3875.71,4.53,25,14,0
7794000592506,PURE DE PAPAS KNORR 125G,Almacén,1792.59,8.13,16,13,1
7622300724221,FIDEOS TERRABUSI 100A/OS MO/OS 500G,Almacén,1355.56,3.84,15,12,0
7790895006111,GASEOSA SPRITE 1.250 LT.RETORNABLE,Bebidas sin alcohol,2153.85,11.3,45,7,0
7791290007901,SUAVIZANTE VIVERE CLASICO 900CC,Limpieza,2103.7,6.06,43,2,0
77905291,CARAMELOS HALLS MIEL C/MENTA 28G,Golosinas,635.71,2.36,11,13,0
7796989008542,PAN BIMBO ARTESANO 500G.,Almacén,5237.04,1.82,13,14,0
7790895640445,AGUA SAB.AQUARIUS 500CC.PERA,Bebidas sin alcohol,1300.0,5.71,28,17,0
7790895641213,AGUA SAB.AQUARIUS 500CC.NARANJA,Bebidas sin alcohol,1300.0,3.94,31,9,0
7791880000411,ARROZ GALLO ORO 500 GRS.,Almacén,866.67,6.29,48,17,1
77934000,CHICLES BELDENT 10G. MENTA FUERTE ,Golosinas,607.14,5.68,17,8,0
7790580716707,GALLETITAS SALADIX JAMON 100 G   ,Snacks,1128.57,4.32,31,2,0
7791564012525,QUESO ADLER SALAME 100 G.,Golosinas,2057.14,2.38,18,13,0
7790070936493,ARLISTAN INSTANTANEO 100G.,Infusiones,3377.78,0.71,45,3,0
7791293030654,ACONDICIONADOR SEDAL 190ML CREMA BA,Cuidado Capilar,2520.3,3.38,23,16,0
7790070318336,FIDEOS LUCCHETTI MOSTACHOL Nº52 500,Almacén,970.37,6.64,30,6,0
7790079001031,MORTADELA PALADINI 300G.,Helados,3278.57,5.04,38,19,0
79400052926,DESODORANTE REXONA CL.FEM STICK CLA,Higiene Corporal,9165.11,1.39,45,7,0
77923424,DESODORANTE REXONA ODORONO 60 GRS,Higiene Corporal,1757.93,20.0,48,10,0
7790895000430,GASEOSA COCA COLA 1.5 LITRO      ,Bebidas sin alcohol,2307.69,5.46,17,9,0
7790070410092,VITINA NUTRI-VIT PLUS CLASICA 250G.,Almacén,1162.96,2.29,41,2,0
7794820014608,DULCE DE LECHE MILKAUT 400 GRS.,Golosinas,2450.0,4.88,9,15,0
7790040100336,GALLETITAS BAGLEY REX TUBO 75GRS,Galletas,550.0,4.65,10,5,1
7790407031273,CHOCOLATE AGUILA 150G. FAMILIAR ,Golosinas,5271.43,1.64,42,4,0
7791813420118,GASEOSA PEPSI 500 C.C.,Bebidas sin alcohol,684.62,5.39,13,20,0
7790895000454,GASEOSA FANTA NARANJA 1.5 LTS.,Bebidas sin alcohol,2884.62,5.9,47,4,0
7792170110568,"BEBIDA GATORADE 1,250CC FR.TROP",Bebidas sin alcohol,2576.92,7.21,33,18,0
7791813421115,GASEOSA PEPSI 1.5 LTS.,Bebidas sin alcohol,1326.92,7.13,36,4,0
7790070318299,FIDEOS LUCCHETTI TALLARIN Nº5 500GR,Almacén,970.37,1.06,14,17,0
7791813421528,GASEOSA SEVEN UP 1.5 LTS.,Bebidas sin alcohol,1326.92,2.16,34,12,0
7790407031471,BAÑO REPOSTERIA AGUILA BLANCO 150,Golosinas,2514.29,5.79,19,17,0
7791293010731,ACONDICIONADOR SEDAL 650ML CERAMID,Cuidado Capilar,6045.19,5.78,45,10,0
7791293010717,ACONDICIONADOR SEDAL 300ML DP CERAM,Cuidado Capilar,2575.48,5.79,46,1,0
7790040711105,GALLETITAS ARCOR DIVERSION 400 GRS.,Almacén,1962.96,14.13,27,18,0
7790078000028,FIDEOS DON VICENTE FETTUCCINI 500GR,Almacén,2207.41,5.93,16,18,0
7613035161566,DOLCA MIX DP.125G. CORTADO,Infusiones,2600.0,7.34,28,14,0
7790895001000,GASEOSA SPRITE 2.250 CC,Bebidas sin alcohol,3846.15,6.89,6,15,0
7798115940399,FIDEOS ESTRELLA DEL PAR.FUSI.TRI500,Almacén,725.93,6.13,42,12,0
7790580504410,DULCE BATATA ARCOR 500G ESTUCHE,Almacén,1740.74,3.71,26,4,0
7622300835194,CARAMELOS CLIGHT FRAMBUESA 20G.,Golosinas,750.0,6.4,31,3,0
7798115940269,FIDEOS ESTRELLA DEL PAR.CARACOL 500,Almacén,659.26,2.57,41,20,0
7792799000639,AGUA MINERAL ECO ONE 1L C/PICO,Bebidas sin alcohol,1346.15,3.91,28,12,0
7790040494206,GALLETITAS ARCOR HOGAREÑAS 7 SEM.56,Almacén,2925.93,3.29,6,7,0
7790070408181,POSTRE EXQUISITA LIGHT CHOCOLATE 65,Almacén,970.37,4.7,45,11,0
7791293029887,ACONDICIONADOR DOVE 750ML OLEO NUTR,Higiene Corporal,9739.19,10.29,20,1,0
7791293031026,ACONDICIONADOR SEDAL 340ML RIZOS DE,Cuidado Capilar,3764.44,-0.17,26,6,0
7790078000059,FIDEOS DON VICENTE MOÑOS 500 GRS.,Almacén,2940.74,6.22,14,15,0
7898422746063,CREMA P/PEINAR SEDAL 300ML LISO PER,Cuidado Capilar,4040.52,0.47,14,15,0
7790580956400,SALSA ARCOR D.PACK PORTUGUESA  340G,Almacén,977.78,3.32,15,19,0
7790580567903,TOMATE NATURAL ARCOR 240 GRS.,Almacén,1111.11,7.22,31,11,0
7790580509507,MERMELADA ARCOR DURAZNO 454 GRS,Almacén,2459.26,4.66,46,2,0
7792170110575,"BEBIDA GATORADE 1,250CC MANZANA",Bebidas sin alcohol,2576.92,1.81,40,14,0
7798031154146,FIDEOS KNORR MO/OS 500G.,Almacén,1451.85,2.71,30,2,0
7790070311412,FIDEOS MATARAZZO 3V.TIRABUZON Nº34 ,Almacén,1392.59,6.2,31,4,0
7791290000698,LAVAVAJILLAS ALA ULTRA 300CC.POMELO,Limpieza,1311.11,2.67,16,17,0
7798031154221,FIDEOS KNORR MOSTACHOL 500G.,Almacén,1074.07,5.04,43,3,0
7792860008168,CHUPETIN LHERITIER FUTBOL BOCA 24U,Golosinas,3485.71,4.61,7,13,0
7790580255510,CHOCOLATE COFLER BLOCK 170G C/MANI ,Golosinas,5735.71,2.87,12,9,0
7798031154122,FIDEOS KNORR RIGATTI 500G.,Almacén,1074.07,9.86,23,7,0
7790895006104,BEBIDA POWERADE 995ML FRUTAS TROPIC,Bebidas sin alcohol,2538.46,6.08,32,15,0
7798031154474,FIDEOS CICA MOSTACHOL 500G.,Almacén,659.26,-0.56,39,11,0
7790230040022,FIDEOS MATARAZZO CAB.ANGEL 500   ,Almacén,1881.48,4.97,32,20,0
7622300724368,FIDEOS TERRABUSI 100A/OS TALLARI.50,Almacén,703.7,2.85,22,2,0
7793360927904,SALSATI LA CAMPAGNOLA FILETTO DP340,Almacén,1177.78,6.63,48,15,0
7794000957626,ADEREZO SAVORA ORIGINAL DP. 250G.,Almacén,1103.7,2.52,29,14,0
7790580106560,CHOCOLATE COFLER 55G. TRES PLACER,Golosinas,2350.0,4.21,30,20,0
7793360004209,MERMELADA CAMPAGNOLA DURAZNO 454 GR,Almacén,2940.74,5.76,12,11,0
7790078000080,FIDEOS DON VICENTE TIRABUZON 500GRS,Almacén,2207.41,6.66,11,3,0
7790580105945,CHOCOLATE COFLER 100G. CHOCOLINAS,Golosinas,2685.71,1.5,29,17,0
7790070318855,FIDEOS LUCCHETTI MUNICIONES 500G.,Almacén,970.37,3.66,38,12,0
7792860008830,CARAMELOS PICO DULCE ANIMALS 500G.,Golosinas,4442.86,3.31,34,15,0
7790070408310,ARROZ LUCCHETTI LARGO FINO 1 KG.,Almacén,1185.19,2.87,48,16,0
7791290011526,LIQUIDO P/ROPA SKIP 800CC.DP,Limpieza,2881.48,8.91,27,5,0
7791293030555,SHAMPOO SEDAL 190ML CERAMIDAS,Cuidado Capilar,2520.3,5.51,31,20,0
7790895640032,BEBIDA POWERADE 500CC.NARANJA,Bebidas sin alcohol,1538.46,1.35,33,6,0
7794820015001,QUESO MILKAUT UNTABLE ROQUEFORT 190,Golosinas,2021.43,6.79,26,19,0
7791880000541,ARROZ GALLO INTEGRAL 1KG. EST      ,Almacén,1777.78,9.81,12,5,0
7790070318619,FIDEOS MATARAZZO CODITO 500 G.   ,Almacén,1200.0,7.08,22,3,0
7790580538002,HARINA MAIZ PRESTOPRONTA 730 GRS.,Almacén,1740.74,0.7,25,1,0
7793360004810,MERMELADA CAMPAGNOLA BC CI.390   ,Almacén,3037.04,3.29,46,6,0
77949035,CHOCOLATE COFLER AIR.30G. BLANCO,Golosinas,1357.14,7.67,25,15,0
78009226,DESODORANTE DOVE STICK FEM.ORIGINAL,Higiene Corporal,4832.48,2.73,27,2,0
7792170042012,BEBIDA GATORADE 500CC NARANJA,Bebidas sin alcohol,1292.31,5.61,33,3,0
6000001016912,POLLO ARROLLADO PALADINI KG. ,Helados,24628.57,6.44,45,17,0
7613035068414,CAFE INSTANT.DOLCA SUAVE 50G ,Infusiones,2948.15,2.18,12,12,0
7794820004159,LECHE CHOCOLATADA MILKAUT 200 C.C.,Golosinas,828.57,4.35,6,18,0
7796989008740,PAN BIMBO HAMBURG.ARTESANO 240G.,Almacén,3222.22,-3.6,37,15,0
7791293074559,DESODORANTE PATRICHS 97G.AVIATOR,Higiene Corporal,2764.7,1.94,18,12,0
